claim_number,age_of_driver,safety_rating,annual_income,high_education,address_change,zip_code,past_num_of_claims,liab_prct,police_report,age_of_vehicle,vehicle_price,total_claim,injury_claim,policy deductible,annual premium,days open,form defects,fraud reported,claim_year,claim_month,claim_day,gender_M,marital_status_1,property_status_Rent,claim_day_of_week_Monday,claim_day_of_week_Saturday,claim_day_of_week_Sunday,claim_day_of_week_Thursday,claim_day_of_week_Tuesday,claim_day_of_week_Wednesday,accident_site_Local,accident_site_Parking Lot,witness_present_1,channel_Online,channel_Phone,vehicle_category_Large,vehicle_category_Medium,vehicle_color_blue,vehicle_color_gray,vehicle_color_other,vehicle_color_red,vehicle_color_silver,vehicle_color_white
414724.0,39.0,73.0,58612.8,1.0,0.0,50048.0,0.0,25.0,0.0,8.0,24360.59273,26633.27819,5196.552552,1000.0,1406.91,8.641800488,5.0,0.0,2023.0,8.0,12.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
269568.0,33.0,72.0,35936.0,0.0,1.0,50006.0,0.0,45.0,0.0,2.0,23457.35282,26707.46021,7957.267641,2000.0,1415.74,10.00976115,5.0,1.0,2024.0,10.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
974592.0,31.0,76.0,84940.8,1.0,1.0,15021.0,0.0,100.0,0.0,7.0,19752.42523,15279.38583,3014.110884,1000.0,1199.44,8.264031851,3.0,0.0,2023.0,12.0,23.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
995328.0,53.0,93.0,73526.4,0.0,1.0,85027.0,0.0,100.0,0.0,1.0,32910.34224,20909.27772,5671.599025,500.0,708.64,9.235943007,4.0,0.0,2024.0,2.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1140480.0,41.0,87.0,59403.2,1.0,0.0,80046.0,0.0,25.0,0.0,6.0,28570.37675,34493.97997,4064.569489,1000.0,1187.96,10.25962917,2.0,0.0,2024.0,9.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1244160.0,42.0,68.0,29779.2,1.0,0.0,80042.0,0.0,84.0,1.0,4.0,12689.88429,6535.967672,2812.365265,2000.0,972.18,9.443031698,2.0,1.0,2024.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1700352.0,50.0,89.0,62611.2,1.0,1.0,20151.0,0.0,10.0,0.0,6.0,53451.42101,7131.377201,5712.282494,2000.0,1104.5,8.588020977,3.0,0.0,2024.0,5.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1804032.0,42.0,68.0,79776.0,1.0,0.0,80015.0,1.0,77.0,1.0,2.0,17740.69947,28271.74319,9218.58245,1000.0,1088.34,10.20650635,2.0,0.0,2023.0,8.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2135808.0,30.0,79.0,34419.0,1.0,1.0,50041.0,0.0,61.0,0.0,7.0,28091.43192,15488.98712,3973.694785,1000.0,988.45,7.041739847,3.0,1.0,2024.0,9.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2198016.0,49.0,57.0,62248.0,1.0,0.0,80015.0,0.0,18.0,1.0,10.0,23264.32531,33770.80035,4264.395565,2000.0,1155.55,9.49194457,5.0,0.0,2023.0,7.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
